subject,eval_index,image_id,margin0_brainret_rank,margin_low_brainret_rank,margin0_winning_impostor_index,margin_low_winning_impostor_index,rank_transition_class,positive_similarity,hardest_impostor_similarity,positive_minus_hardest_margin,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,image_full_pool_rank_margin0,image_full_pool_rank,delta_image_full_pool_rank,cycle47_stress_image_preserved_or_improved_brain_worse,cycle47_rank1_to_not1,cycle47_not1_to_rank1,teacher_winner_in_target_top1,teacher_winner_in_target_top5,teacher_winner_in_target_top10,teacher_winner_in_target_top50,brain_eval_winner_in_target_top1,brain_eval_winner_in_target_top5,brain_eval_winner_in_target_top10,brain_eval_winner_in_target_top50,teacher_dir_cosine,brain_eval_dir_cosine,enhanced_dir_cosine
5,0,2950,2.0,4.0,195,195,not1_kept,0.0398935,0.04962663,-0.009733129,-0.001073435,0.0006537996,-0.0017272346,2.0,2.0,3.0,1.0,False,0,0,True,True,True,True,True,True,True,True,0.003367734,-0.026856298,
5,1,2990,2.0,5.0,876,876,not1_kept,0.048317324,0.052970406,-0.0046530813,0.0012958981,-0.000773862,0.00206976,3.0,1.0,1.0,0.0,True,0,0,False,False,False,False,False,False,False,True,-0.0041247252,-0.011053807,
5,2,3049,4.0,1.0,11,11,not1_to_rank1,0.056838177,0.05599349,0.0008446872,0.007482372,0.0039695464,0.0035128258,-3.0,4.0,2.0,-2.0,False,0,1,False,False,False,True,False,False,False,True,-0.0077712405,-0.048127696,
5,3,3077,19.0,11.0,872,493,not1_kept,0.03785205,0.04675746,-0.008905411,0.010150444,0.0049270876,0.005223356,-8.0,24.0,8.0,-16.0,False,0,0,False,False,False,False,False,False,False,False,0.0012835361,-0.007300796,
5,4,3146,9.0,3.0,36,828,not1_kept,0.041870676,0.04222407,-0.0003533922,0.009503897,0.0019348934,0.007569004,-6.0,33.0,14.0,-19.0,False,0,0,False,False,True,True,False,False,False,False,-0.0027364695,-0.03426554,
5,5,3157,2.0,2.0,778,778,not1_kept,0.051637195,0.052497655,-0.0008604601,0.004468996,0.0016482286,0.0028207675,0.0,9.0,4.0,-5.0,False,0,0,True,True,True,True,False,False,False,True,-0.0050079455,-0.0004868944,
5,6,3164,92.0,89.0,906,906,not1_kept,0.02663929,0.04144814,-0.0148088485,-0.00027113594,-0.003564421,0.0032932851,-3.0,26.0,38.0,12.0,False,0,0,False,False,False,False,False,False,False,True,-0.006566946,-0.13790366,
5,7,3171,153.0,72.0,162,162,not1_kept,0.026052544,0.04730846,-0.021255916,0.007655643,0.0026784427,0.0049772,-81.0,16.0,21.0,5.0,False,0,0,False,False,False,True,False,True,True,True,-0.010125415,-0.13603911,
5,8,3181,1.0,1.0,674,674,rank1_kept,0.059288163,0.05413779,0.005150374,-0.0012658574,0.001811754,-0.0030776113,0.0,1.0,1.0,0.0,False,0,0,False,False,True,True,False,False,False,True,0.006286774,-0.024138685,
5,9,3386,43.0,50.0,331,331,not1_kept,0.031914134,0.05170024,-0.019786105,0.0027075857,0.0081240535,-0.005416468,7.0,43.0,40.0,-3.0,True,0,0,False,False,False,False,False,False,False,False,0.010967566,-0.10766413,
